Assets,located_image,base_image,top_left_X,top_left_Y,bottom_right_X,top_right_Y,height,width,total_image_height,total_image_width
bfbf7a2b7ac635e67877b1ab87fd6629,cta.png,_preview.png,104,215,404,279,64,300,900,600
945010afbf9a55bbdffcb0895f946155,cta.png,_preview.png,104,215,404,279,64,300,900,600
e68e20f592457b875ce29757ab855dfe,cta.png,_preview.png,366,154,600,204,50,234,500,600
adunit-nestle-purina-friskies-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-lionsgate-uwomt-user-slider-sensory-video-final-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
84327cf26d2a91e2730ae7ddbfca6d59,video-cta.png,_preview.png,87,136,491,205,69,404,900,600
08b7a12a72fb5100b27197c39bab1b70,cta-white.png,_preview.png,119,297,481,343,46,362,500,600
adunit-lionsgate-spiral-puzzle-v2-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
bb631902fce625cf0dc87d80c027c905,end-cta.png,_preview.png,213,148,560,225,77,347,900,600
adunit-western-union-sensory-unit-swipe-right-tap-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
bcc5ae4665b6b8c2ff25dfdc65fbc65a,cta.png,_preview.png,151,774,450,850,76,299,900,600
adunit-chevy-hotspot-cpe-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-yamaha-user-slider-rotate-v3-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-showtime-dexture-post-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
7fc571f85358c5d37efafde99b6896d7,cta.png,_preview.png,366,154,600,204,50,234,500,600
adunit-jaguar-nameplate-refresh-rfb-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
79c36d2adb94900291f5ddf1f6580c43,f3-cta-copy.png,_preview.png,172,357,499,383,26,327,500,600
c7ecd71b4632aea2ffca69a1d079b290,video-cta.png,_preview.png,56,518,353,577,59,297,900,600
adunit-subway-better-for-you-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
8fa19496d906812e1f44a983d347ee63,video-cta copy.jpg,_preview.png,131,399,445,457,58,314,500,600
3ef8b18ef78ad050d1a76b801d97a08c,cta.png,_preview.png,104,215,404,279,64,300,900,600
adunit-western-union-sensory-unit-swipe-up-tap-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
7f25293ac6d5c570749cea2af84e8439,cta.png,_preview.png,366,154,600,204,50,234,500,600
3c23316180b7da3e712c0596fa01ff74,cta.png,_preview.png,55,453,547,474,21,492,500,600
459c60702cfaae32207a161b693df47c,f4-cta-copy-HE.png,_preview.png,0,0,600,900,900,600,900,600
adunit-standardchartered-bio-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-mouser-user-choice-v2-cpe-av-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
61eb910425767fd90074a958328bee6a,cta.png,_preview.png,366,154,600,204,50,234,500,600
adunit-facebook-conversational-commerce-3-0-vn-unit2-v2-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
3a5bb9945be02e4181eee1dec5c25edc,cta.png,_preview.png,366,154,600,204,50,234,500,600
e656e46e3a4dc66fc0baa433c94bfd1a,cta.png,_preview.png,104,215,404,279,64,300,900,600
4264eae0ad6e1cbcea3d73d88becb787,cta.png,_preview.png,128,744,472,803,59,344,900,600
adunit-showtime-dexter-sensory-plus-video-canvas-post-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
6a3dbf08b82e45b3f3e79844f3a9aa18,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-facebook-conversational-commerce-3-0-vn-unit2-mpu,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-kitkat-golden-break-gamify-en-mob,cta,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
29383bc5de5a62c642fb9434d71863e7,cta.png,_preview.png,104,215,404,279,64,300,900,600
9278a3d31c76eaa929d2326e1b2062e1,cta.png,_preview.png,16,383,225,419,36,209,900,600
b768aedc20d9c135b355b7cd8e8beff3,cta.png,_preview.png,201,421,399,464,43,198,500,600
ee11627c036ee9772446b6e3ac9da649,cta.png,_preview.png,106,731,468,797,66,362,900,600
07f93a53c25007301d276ec20e7be491,end-cta.png,_preview.png,224,599,590,672,73,366,900,600
2a6bbf47edb9f1cb3a722784c5e73e83,cta.png,_preview.png,172,811,428,870,59,256,900,600
