Assets,located_image,base_image,top_left_X,top_left_Y,bottom_right_X,top_right_Y,height,width,total_image_height,total_image_width
bfbf7a2b7ac635e67877b1ab87fd6629,engagement_instruction.png,_preview.png,60,185,526,262,77,466,900,600
945010afbf9a55bbdffcb0895f946155,engagement_instruction.png,_preview.png,60,185,526,262,77,466,900,600
e68e20f592457b875ce29757ab855dfe,engagement_instruction.png,_preview.png,50,114,430,177,63,380,500,600
adunit-nestle-purina-friskies-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-lionsgate-uwomt-user-slider-sensory-video-final-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
84327cf26d2a91e2730ae7ddbfca6d59,engagement_instruction.png,_preview.png,112,708,481,877,169,369,900,600
08b7a12a72fb5100b27197c39bab1b70,engagement_animation_1.png,_preview.png,477,171,583,308,137,106,500,600
adunit-lionsgate-spiral-puzzle-v2-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
bb631902fce625cf0dc87d80c027c905,engagement_instruction.png,_preview.png,68,170,532,240,70,464,900,600
adunit-western-union-sensory-unit-swipe-right-tap-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
bcc5ae4665b6b8c2ff25dfdc65fbc65a,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-chevy-hotspot-cpe-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-yamaha-user-slider-rotate-v3-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-showtime-dexture-post-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
7fc571f85358c5d37efafde99b6896d7,engagement_instruction.png,_preview.png,50,114,430,177,63,380,500,600
adunit-jaguar-nameplate-refresh-rfb-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
79c36d2adb94900291f5ddf1f6580c43,engagement_instruction.png,_preview.png,0,163,600,283,120,600,500,600
c7ecd71b4632aea2ffca69a1d079b290,engagement_instruction.png,_preview.png,0,653,600,840,187,600,900,600
adunit-subway-better-for-you-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
8fa19496d906812e1f44a983d347ee63,engagement_instruction.png,_preview.png,41,375,566,470,95,525,500,600
3ef8b18ef78ad050d1a76b801d97a08c,engagement_instruction.png,_preview.png,60,185,526,262,77,466,900,600
adunit-western-union-sensory-unit-swipe-up-tap-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
7f25293ac6d5c570749cea2af84e8439,engagement_instruction.png,_preview.png,50,114,430,177,63,380,500,600
3c23316180b7da3e712c0596fa01ff74,engagement_animation.png,_preview.png,46,79,131,164,85,85,500,600
459c60702cfaae32207a161b693df47c,engagement_animation.png,_preview.png,252,559,345,669,110,93,900,600
adunit-standardchartered-bio-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
