Assets,located_image,base_image,top_left_X,top_left_Y,bottom_right_X,top_right_Y,height,width,total_image_height,total_image_width
bfbf7a2b7ac635e67877b1ab87fd6629,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
945010afbf9a55bbdffcb0895f946155,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
e68e20f592457b875ce29757ab855dfe,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-nestle-purina-friskies-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-lionsgate-uwomt-user-slider-sensory-video-final-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
84327cf26d2a91e2730ae7ddbfca6d59,logo.png,_preview.png,89,6,511,202,196,422,900,600
08b7a12a72fb5100b27197c39bab1b70,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-lionsgate-spiral-puzzle-v2-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
bb631902fce625cf0dc87d80c027c905,video-logo.png,_preview.png,0,0,600,900,900,600,900,600
adunit-western-union-sensory-unit-swipe-right-tap-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
bcc5ae4665b6b8c2ff25dfdc65fbc65a,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-chevy-hotspot-cpe-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-yamaha-user-slider-rotate-v3-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-showtime-dexture-post-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
7fc571f85358c5d37efafde99b6896d7,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-jaguar-nameplate-refresh-rfb-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
79c36d2adb94900291f5ddf1f6580c43,f4-logo.png,_preview.png,0,0,600,500,500,600,500,600
c7ecd71b4632aea2ffca69a1d079b290,logo.png,_preview.png,55,405,552,562,157,497,900,600
adunit-subway-better-for-you-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
8fa19496d906812e1f44a983d347ee63,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
3ef8b18ef78ad050d1a76b801d97a08c,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-western-union-sensory-unit-swipe-up-tap-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
7f25293ac6d5c570749cea2af84e8439,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
3c23316180b7da3e712c0596fa01ff74,logo.png,_preview.png,100,10,504,161,151,404,500,600
459c60702cfaae32207a161b693df47c,f2-logo.png,_preview.png,89,6,511,202,196,422,900,600
adunit-standardchartered-bio-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-mouser-user-choice-v2-cpe-av-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
61eb910425767fd90074a958328bee6a,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-facebook-conversational-commerce-3-0-vn-unit2-v2-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
3a5bb9945be02e4181eee1dec5c25edc,logo.jpg,_preview.png,0,0,600,200,200,600,500,600
e656e46e3a4dc66fc0baa433c94bfd1a,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
4264eae0ad6e1cbcea3d73d88becb787,logo.png,_preview.png,188,33,413,108,75,225,900,600
adunit-showtime-dexter-sensory-plus-video-canvas-post-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
6a3dbf08b82e45b3f3e79844f3a9aa18,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-facebook-conversational-commerce-3-0-vn-unit2-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-kitkat-golden-break-gamify-en-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
29383bc5de5a62c642fb9434d71863e7,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
9278a3d31c76eaa929d2326e1b2062e1,logo.jpg,_preview.png,0,801,600,900,99,600,900,600
b768aedc20d9c135b355b7cd8e8beff3,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
ee11627c036ee9772446b6e3ac9da649,logo.png,_preview.png,162,39,438,86,47,276,900,600
07f93a53c25007301d276ec20e7be491,end-logo.png,_preview.png,53,384,552,530,146,499,900,600
2a6bbf47edb9f1cb3a722784c5e73e83,logo.png,_preview.png,188,20,412,71,51,224,900,600
adunit-simple-feast-build-for-industry-survey-q3-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-gme-user-choice-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
3a9208f5502fa4ad01ddf92a77a0e8a3,logo.png,_preview.png,185,8,422,68,60,237,500,600
404c5d32b088d0869fd7774ce7582f89,logo.png,_preview.png,30,30,180,91,61,150,500,600
b1e8cf36fefced5b9f20d291026b06db,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
b285c9ac9aa1669a7350e4c4594ea571,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
b8595cc38764f2c30d986c4c8080671c,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
42dd2154c1b6f67a461463cf322c9830,logo.png,_preview.png,0,0,457,141,141,457,900,600
adunit-mouser-user-choice-v2-cpe-canada-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
7db3a9c286b1a445845bad68ff95f2bb,video-logo.png,_preview.png,17,15,580,179,164,563,900,600
adunit-yamaha-wolverine-user-choice-av-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-van-cleef-and-arpels-frivole-wave-unit1-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-gme-user-choice-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
73adaebd0fbf7778d06d9d711ba5c152,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
3bc6564698bdf9559b98b255737bbedb,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
df89c44299ec66120e89ab1d1296c26f,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-van-cleef-and-arpels-frivole-wave-unit1-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
39d4594499ca9372338b51f71e0b6681,logo.png,_preview.png,36,36,300,72,36,264,900,600
3c35998c3f4a279a008ac3ffd8481fea,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-chevy-tap-and-hold-600-1200-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
c706a9ad6b0c2ee9295fe40dfa5b0615,logo.png,_preview.png,40,383,398,498,115,358,500,600
8b6e13cab4903dffde5588ea2ab0c2a2,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-chevy-tap-final-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
637244e2ca7b57187bd1b563a5b85846,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
99558df7a3e64e9b15c34c20f44f038a,logo.png,_preview.png,148,37,452,112,75,304,900,600
39825c2c74eae1fd9c73da842617d2da,logo.png,_preview.png,416,799,570,858,59,154,900,600
ed9fd46313a5bce5f00d5fd720e5880f,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
c176d5a3e27117bc90e3820434a024d9,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-vodacom-ciot-curve-v1-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
bf1f7af46eec0e92939a8b3ba51cbacd,logo.png,_preview.png,89,6,511,202,196,422,900,600
adunit-western-union-sensory-unit-swipe-right-tap-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
26e54c41e45e7bd0899b90fdacf124fd,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-mouser-user-choice-v2-cpe-av-canada-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
d1e28a38a4e871527e62543540d0e7a7,logo.png,_preview.png,148,36,517,214,178,369,500,600
f5f846befe806be6021ff34f9fd60547,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
b4d26946d68754d77027cc419d36892f,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-nestle-maggi-varieties-bouillon-en-ksa-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
96510a48f1e13c601687e80f5d60670b,logo.png,_preview.png,0,0,600,152,152,600,900,600
adunit-lionsgate-uwomt-user-slider-sensory-video-final-tune2-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
09f35af0a30b37dce2f1a5ad7f143293,logo.png,_preview.png,190,27,410,151,124,220,900,600
adunit-mouser-user-choice-v2-cpe-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
4443d262f14a8d6d58655dcf2e8c4542,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-nutrella-barrilito-mpu,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
3f08e75ebd9b0ca68ffd298893647a13,logo.png,_preview.png,0,0,600,500,500,600,500,600
c21bfafc138cf023080098b0f7a439d0,logo.png,_preview.png,162,39,438,86,47,276,900,600
adunit-mouser-user-choice-flight4-canada-cpe-av-mob,logo,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
