Assets,number_of_files,all_files,concat
ed3071a667a11cc56e88ae0489bfe6aa,28,"['video.mp4', 'fs-click-endframe.png', 'rev-video-cta-copy-nowplaying.png', 'rev-end-copy-friday.png', 'fs-engage.png', 'cta.png', 'end-cta.png', 'f2-zoom-reveal.png', 'end-cta-copy.png', 'engagement_animation.png', 'jackson.png', 'rev-end-copy-tonight.png', 'rev-video-cta-getnow.png', '_preview.png', 'endtext_1.png', 'video-cta-copy.png', 'fs-click.png', 'engagement_instruction.png', 'fs-clickthrough_rev.png', 'rev-video-cta-copy-friday.png', 'landing_2.png', 'video-cta.png', 'keaton.png', 'maggie-graphic.png', 'landing_1.png', 'endframe.png', 'rev-video-cta-copy-tonight.png', 'maggie-copy.png']",video.mp4 fs-click-endframe.png rev-video-cta-copy-nowplaying.png rev-end-copy-friday.png fs-engage.png cta.png end-cta.png f2-zoom-reveal.png end-cta-copy.png engagement_animation.png jackson.png rev-end-copy-tonight.png rev-video-cta-getnow.png _preview.png endtext_1.png video-cta-copy.png fs-click.png engagement_instruction.png fs-clickthrough_rev.png rev-video-cta-copy-friday.png landing_2.png video-cta.png keaton.png maggie-graphic.png landing_1.png endframe.png rev-video-cta-copy-tonight.png maggie-copy.png
4799763419d621cd41e7fb8abbcdd45d,17,"['thumbnail.jpg', 'landing_2.jpg', 'video.mp4', 'MPU-click-area.png', 'cta.png', 'end-bg.jpg', 'engagement_animation.png', 'end-willowgrove.png', '_preview.png', 'engagement_instruction.png', 'landing_1.jpg', 'end-framingdale.png', 'advertised_item.png', 'endframe.png', 'end-allentown.png', 'fr-2-copy-ny.png', 'fr-2-copy.png']",thumbnail.jpg landing_2.jpg video.mp4 MPU-click-area.png cta.png end-bg.jpg engagement_animation.png end-willowgrove.png _preview.png engagement_instruction.png landing_1.jpg end-framingdale.png advertised_item.png endframe.png end-allentown.png fr-2-copy-ny.png fr-2-copy.png
bf1f7af46eec0e92939a8b3ba51cbacd,46,"['f2-bg.png', 'f3-cta-rev-4.png', 'Line 1.png', 'logo.png', 'f4-cta.png', 'video.mp4', 'fs-click-endframe.png', 'f3-cta-top-copy-rev.png', 'game_2.png', 'f3-bg.png', 'big-explosion-let.png', 'sparks-rev.png', 'f3-banner.png', 'cta.png', 'game_text.png', 'f3-graphic.png', 'f3-cta-rev.png', 'F3-CTA-TOMORROW.png', 'F3-CTA-REV-TOMORROW.png', 'g.png', 'engagement_animation.png', 'middle-explosion2.png', 'big-explosion-left2.png', 'f4-cta-rev-3.png', 'middl-explosion.png', 'f3-bg-rev.png', 'f4-cta-wed.png', '_preview.png', 'f3-cta.png', 'fs-click.png', 'engagement_instruction.png', 'explosion-bg.png', 'game_1.png', 'f3-cta-copy-rev.png', 'f4-bg-rev.png', 'f4-bg.jpg', 'f1-instructions.png', 'landing_1.jpg', 'f3-cta-rev3.png', 'bottomsparks.png', 'f4-cta-rev.png', 'f3-cta-copy-rev2.png', 'f3-cta-top-copy.png', 'f4-cta-rev2.png', 'f3-cta-copy-wed.png', 'mpu-click.png']",f2-bg.png f3-cta-rev-4.png Line 1.png logo.png f4-cta.png video.mp4 fs-click-endframe.png f3-cta-top-copy-rev.png game_2.png f3-bg.png big-explosion-let.png sparks-rev.png f3-banner.png cta.png game_text.png f3-graphic.png f3-cta-rev.png F3-CTA-TOMORROW.png F3-CTA-REV-TOMORROW.png g.png engagement_animation.png middle-explosion2.png big-explosion-left2.png f4-cta-rev-3.png middl-explosion.png f3-bg-rev.png f4-cta-wed.png _preview.png f3-cta.png fs-click.png engagement_instruction.png explosion-bg.png game_1.png f3-cta-copy-rev.png f4-bg-rev.png f4-bg.jpg f1-instructions.png landing_1.jpg f3-cta-rev3.png bottomsparks.png f4-cta-rev.png f3-cta-copy-rev2.png f3-cta-top-copy.png f4-cta-rev2.png f3-cta-copy-wed.png mpu-click.png
e68e20f592457b875ce29757ab855dfe,15,"['endtext.png', 'thumbnail.jpg', 'landing_2.jpg', 'endframe_4.png', 'video.mp4', 'MPU-click-area.png', 'cta.png', 'engagement_animation.png', '_preview.png', 'endframe_3.png', 'engagement_instruction.png', 'landing_1.jpg', 'endframe_2.png', 'advertised_item.png', 'endframe_1.jpg']",endtext.png thumbnail.jpg landing_2.jpg endframe_4.png video.mp4 MPU-click-area.png cta.png engagement_animation.png _preview.png endframe_3.png engagement_instruction.png landing_1.jpg endframe_2.png advertised_item.png endframe_1.jpg
6a8e741867d4f893afad015b77b52c39,16,"['landing_2.jpg', 'video.mp4', 'cta.png', 'end-1.jpg', 'thumbnail.png', 'end-bridgewater.png', 'engagement_animation.png', '_preview.png', 'engagement_instruction.png', 'landing_1.png', 'advertised_item.png', 'endframe.png', 'end-brooklyn.png', 'fr-2-copy-ny.png', 'fr-2-copy.png', 'end-farmingdale.png']",landing_2.jpg video.mp4 cta.png end-1.jpg thumbnail.png end-bridgewater.png engagement_animation.png _preview.png engagement_instruction.png landing_1.png advertised_item.png endframe.png end-brooklyn.png fr-2-copy-ny.png fr-2-copy.png end-farmingdale.png
65299151bf4cbd1825d28e4a43d113ac,6,"['video.mp4', 'MPU-swipe-layer2.png', 'engagement_animation.png', 'landing.jpg', '_preview.png', 'endframe.jpg']",video.mp4 MPU-swipe-layer2.png engagement_animation.png landing.jpg _preview.png endframe.jpg
42c5b4b367187c29ac8fdd78c70837d6,24,"['logo.png', 'arrowdown.png', 'star24.png', 'star33e.png', 'star23.png', 'star22e.png', 'text1.png', 'star01e.png', 'clearbg.png', 'engagement_animation.png', 'star31e.png', 'star25.png', 'star14.png', 'clicklayer.jpg', '_preview.png', 'star13e.png', 'cta.jpg', 'engagement_instruction.png', 'star12.png', 'star15e.png', 'advertised_item.png', 'endframe.png', 'ringcta.png', 'star32e.png']",logo.png arrowdown.png star24.png star33e.png star23.png star22e.png text1.png star01e.png clearbg.png engagement_animation.png star31e.png star25.png star14.png clicklayer.jpg _preview.png star13e.png cta.jpg engagement_instruction.png star12.png star15e.png advertised_item.png endframe.png ringcta.png star32e.png
adunit-heineken-pure-malt-mob,20,"['popup1.png', 'game_2.png', 'hotspot4.png', 'hotspot3.png', 'cta.png', 'overlay.png', 'instruction-old.png', 'game_engagement.png', 'game_3.png', 'game_4.png', 'engagement_animation.png', 'hotspot2.png', 'content4.png', 'cta-old.png', 'popup4.png', 'engagement_instruction.png', 'popup2.png', 'game_1.png', 'popup3.png', 'landing_1.png']",popup1.png game_2.png hotspot4.png hotspot3.png cta.png overlay.png instruction-old.png game_engagement.png game_3.png game_4.png engagement_animation.png hotspot2.png content4.png cta-old.png popup4.png engagement_instruction.png popup2.png game_1.png popup3.png landing_1.png
f08d8e575fa2c9929dfaf2d1bfa553a2,28,"['endtext.png', 'tt3.png', 'Ellipse 1.png', 'pc.png', 'Ellipse 4.png', 'gametext_2.png', 'landingtext_2.png', 'branding.jpg', 'Ellipse 2.png', '_preview.png', 'tt4b.png', 'cta.jpg', 'endframe_3.png', 'engagement_animation_1.png', 'Ellipse 5.png', 'tt3a.png', 'Ellipse 3.png', 'landing_2.png', 'landing_1.jpg', 'tt4.png', 'tt2b.png', 'engagement_animation_2.png', 'landingtext_1.png', 'gametext_3.png', 'endframe_2.png', 'gametext_1.png', 'endframe_1.png', 'tt3a-swap.png']",endtext.png tt3.png Ellipse 1.png pc.png Ellipse 4.png gametext_2.png landingtext_2.png branding.jpg Ellipse 2.png _preview.png tt4b.png cta.jpg endframe_3.png engagement_animation_1.png Ellipse 5.png tt3a.png Ellipse 3.png landing_2.png landing_1.jpg tt4.png tt2b.png engagement_animation_2.png landingtext_1.png gametext_3.png endframe_2.png gametext_1.png endframe_1.png tt3a-swap.png
adunit-mouser-user-choice-cpe-av-us-mob,25,"['option2-image.png', 'logo.png', 'arrow1.png', 'background.png', 'cta.png', 'arrow3-glow.png', 'option1-copy.png', 'arrow2.png', 'option3-copy.png', 'shape2.png', 'arrow2-glow.png', 'copy3.png', 'triangle.png', 'xtext.png', 'shape1.png', 'arrow1-glow.png', 'copy1.png', 'arrow3.png', 'copy2.png', 'option1-image.png', 'xshape.png', 'option2-copy.png', 'gatewaycopy.png', 'shape3.png', 'option3-image.png']",option2-image.png logo.png arrow1.png background.png cta.png arrow3-glow.png option1-copy.png arrow2.png option3-copy.png shape2.png arrow2-glow.png copy3.png triangle.png xtext.png shape1.png arrow1-glow.png copy1.png arrow3.png copy2.png option1-image.png xshape.png option2-copy.png gatewaycopy.png shape3.png option3-image.png
